"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
2.7,226.1,7.5,6,10.1,9.6,197.5
2.6,227.9,7.8,6.3,9.8,8.2,197.8
2.4,227.3,7.7,6.3,9.6,9.2,169.5
2.5,33.8,7.2,5.7,9.4,12.3,151.9
3,168.4,6.8,5.7,7.2,15,138.6
3.9,164.8,7.2,6.2,7.9,18.1,140.7
4.8,181.8,8.3,7.1,9.2,17.3,187.7
4.9,198.6,8.9,7.6,9.9,16.4,218.1
5.3,211.3,9.1,7.7,10.4,18,211.1
6,219.8,9.7,8.2,10.8,18,208.7
6.4,225.1,10.1,8.5,11.3,17.8,206.4
6.8,227.2,10.5,8.8,11.6,18.6,210.1
7.3,229.4,10.9,9,12.3,19,213
7.8,233.3,11.2,9.4,12.6,19.9,214.1
8.4,238.7,11.5,9.6,13,20.9,216.3
8.6,241.2,11.7,9.7,13.3,21,220
8.2,244.3,11.7,9.6,13.4,19,220.4
7.1,252.2,11.5,9.3,13.5,15.7,216.2
5.7,254.7,11.2,9,13.5,11.5,202.6
4.6,254.5,10.8,8.7,12.8,9.3,183.8
4,252.9,10.2,8.2,12.4,9.6,168.4
3.7,249.7,9.4,7.5,11.5,11.3,170.3
3.7,194.5,8.7,6.9,11,13,180.5
4,193.3,8.4,6.9,9.5,14.7,180.7
4.3,191.7,8.6,7.2,9.6,14.6,177.6
4.7,193.7,9,7.5,10.2,15.2,185.3
5.2,196.6,9.3,7.8,10.4,17.2,187.9
6.4,200.7,9.9,8.3,11.1,20.9,193.4
7.2,215.1,10.6,8.9,11.7,19.1,231
7.1,228.2,10.6,8.9,12.2,19.3,243.5
7.1,232.9,10.6,8.9,11.8,19.7,241.4
7.3,235.9,10.7,9.1,11.7,19.7,242.4
7.5,237.9,10.9,9.2,12.1,19.6,240.7
7.5,244.1,11,9.2,12.2,19.2,236.8
7.4,250.2,10.9,9.2,12.2,19,235.6
7,247.9,10.8,9,12,17.8,235.3
6.2,254.2,10.7,9,11.7,14.1,232.5
5.1,274.2,10.7,9.1,11.7,9.2,230
4.4,278.6,10.6,9.3,11.5,7.6,283.9
4.1,281.8,10.4,9.2,11.2,10.3,307.3
4,185.6,10.3,8.9,11.2,9,316.1
4.1,175.4,10.7,9.6,11.5,4.6,318.2
4.1,210,11,10.1,11.8,1.9,222.9
4.1,211.5,11.2,10.3,12.1,5.9,178.2
3.9,212.5,11.3,10.4,12.3,8.4,168.1
3.8,213.5,11.2,10,12.4,9.1,174.6
3.7,214.6,10.8,8.7,12.4,11.8,239.8
3.9,217.4,9.7,7.1,12.4,14.1,265.8
4.6,222.5,8.8,6.9,12.5,16.3,265.3
5.1,284.2,9,7.5,9.3,16.8,267.6
5.3,290.6,9.4,7.8,10.2,16,271.1
5.3,298.1,9.8,8.1,11,14.7,277.5
5,302.9,10.3,8.5,11.7,11.6,282.2
4.6,305.5,10.8,9.2,12.5,7.3,268.4
4.1,305.7,11,9.7,12.4,5.9,228.1
